playerId,playerName,team,friday_avg,friday_obp,friday_slg,friday_ops,sunday_avg,sunday_obp,sunday_slg,sunday_ops
ID688760,Blaine Crim,Texas Rangers,0,0,0,0,0,0.5,0,0.5
ID641658,Garrett Hampson,Arizona Diamondbacks,0.111,0.2,0.111,0.311,0,0.4,0,0.4
ID680911,Owen Miller,Colorado Rockies,0.333,0.5,0.333,0.833,0,0.333,0,0.333
ID669374,Keston Hiura,Colorado Rockies,0.25,0.5,0.25,0.75,0,0.333,0,0.333
ID621035,Chris Taylor,Los Angeles Angels,0.333,0.333,0.444,0.777,0,0.333,0,0.333
ID695238,Will Wagner,San Diego Padres,0,0,0,0,0,0.333,0,0.333
ID676116,Ryan Noda,Chicago White Sox,0.143,0.143,0.143,0.286,0,0.308,0,0.308
ID678225,Ji Hwan Bae,Pittsburgh Pirates,0,0,0,0,0,0.25,0,0.25
ID805811,Bryce Eldridge,San Francisco Giants,0,0,0,0,0,0.25,0,0.25
ID608385,Jesse Winker,New York Mets,0.231,0.286,0.231,0.517,0,0.222,0,0.222
ID681962,Vinny Capra,Chicago White Sox,0,0,0,0,0,0.2,0,0.2
ID669134,Luis Campusano,San Diego Padres,0,0,0,0,0,0.2,0,0.2
ID682848,Endy Rodríguez,Pittsburgh Pirates,0.182,0.25,0.273,0.523,0,0.182,0,0.182
ID683748,Victor Mesa Jr.,Miami Marlins,0.25,0.4,0.25,0.65,0,0.167,0,0.167
ID676070,Jacob Amaya,Chicago White Sox,0.364,0.417,0.455,0.872,0,0.1,0,0.1
ID672569,Gustavo Campero,Los Angeles Angels,0.273,0.429,0.818,1.247,0,0.091,0,0.091
ID669003,Garrett Mitchell,Milwaukee Brewers,0.333,0.333,0.444,0.777,0,0.091,0,0.091
ID656484,Tristan Gray,Tampa Bay Rays,0.222,0.364,0.556,0.92,0,0.083,0,0.083
ID600869,Jeimer Candelario,Cincinnati Reds,0.273,0.385,0.909,1.294,0,0.062,0,0.062
